,day_svi_id,year,month,day_svi_lat,day_svi_lon,day_svi_heading,night_svi_lat,night_svi_lon,lux,distance_err,total_area,total_luminosity,avg_luminosity,avg_distance,mid_distance,weighted_lum_std,weighted_dist_std,max_contour_size
2120,2Pbe-3V2geAuqcCp2kthxg,2020,8,1.30037837,103.7664449,2.725735256,1.3003869,103.7664668,4,2.35E-05,17812,1794749.596,100.7607004,173.3218321,163.7467557,482.7054629,24.96241418,16595
2121,2SOr0K6KILlQpck75R-LKQ,2019,7,1.284307218,103.8449168,5.234642327,1.2842333,103.8448937,11,7.74E-05,48328,4824553.926,99.82937274,195.0934139,191.4706244,284.0315963,33.41723599,12299
2122,2Ue126QPwBtscjdD6FQLWA,2015,8,1.342209982,103.695863,5.608599679,1.3422301,103.695877,11,2.45E-05,28763,2880202.712,100.1356852,185.7915712,173.104015,374.2563618,33.15394433,13351
2123,2T9Ks1AcKgdS0nF2y0uHfQ,2017,12,1.276755222,103.8434587,0.159557305,1.2767546,103.8434784,44,1.97E-05,41852,5115496.253,122.2282389,180.6255271,176.5700994,374.1297168,25.34959392,36118.5
2124,2VEpfVccnZ-LygIJ01ejCg,2019,6,1.293774941,103.7849468,6.165761741,1.2937695,103.7849499,1,6.27E-06,30019,3352586.257,111.6821432,198.7463907,193.0932417,407.6789978,37.09921191,20996
2125,2XQP4erw17FWKD-Vya_MLw,2018,2,1.345825705,103.7026711,4.231020483,1.3458348,103.7026616,27,1.31E-05,44109,5397357.796,122.3640934,180.964128,171.656634,361.9684696,32.06170526,40300
2126,2YE15FCnJNj7mFHNTFsCeQ,2015,4,1.33054858,103.795156,0.353926519,1.3305511,103.7951709,4,1.51E-05,34710,4336409.597,124.9325727,181.8401383,174.2383424,422.4436277,28.31783957,15007.5
2127,2ZWGdXhMv51qyJ9ZsTKeRA,2020,9,1.293727788,103.7849612,6.128702789,1.293729,103.7849563,7,5.05E-06,34673,3702994.684,106.7976432,200.7492254,196.7053634,360.6494157,39.27469295,28879
2128,2b6XALs7hqWCluZxbqGT1g,2021,10,1.32450625,103.7931509,2.261257857,1.3245017,103.7931504,0,4.58E-06,4603,450067.829,97.77706474,174.8379833,177.4964788,933.5945753,21.16839747,1337.5
2129,2a3tJErFU6DDkc1lPs8urQ,2012,6,1.340789287,103.6972989,5.474180884,1.3407921,103.6973266,11,2.79E-05,38547,4397401.04,114.0789436,177.6800771,170.0735135,364.3672794,25.72523664,31813.5
2130,2aG-zCSx6HPIf6laed_ntw,2021,7,1.297361253,103.7671315,3.253976187,1.2973628,103.7671428,26,1.14E-05,28204,3559939.272,126.2210776,194.2156892,182.1414284,475.4293917,39.97517457,10490
2131,2bV9JhCSVTM0Tq4518NnUg,2018,1,1.301673344,103.7704092,1.911757246,1.3016723,103.7704028,7,6.50E-06,25538,2701620.989,105.7882759,176.8349937,168.884576,420.2065714,23.97627817,17655.5
2132,2c6Ahwnd-YkY8Io-u0WaVA,2015,4,1.32189973,103.7971361,1.187611521,1.3219117,103.7971522,0,2.01E-05,10322,1056511.823,102.3553403,168.7080389,164.1036258,649.8704394,18.383505,4033.5
